17:34:39.320 [ApplicationImpl pooled thread 237] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:35:34.360 [ApplicationImpl pooled thread 229] INFO  c.b.l.BrowserStackRunExtension - testng
17:35:34.360 [ApplicationImpl pooled thread 229] INFO  com.browserstack.utils.Helpers - null
17:35:34.360 [ApplicationImpl pooled thread 229] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:42:34.196 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - testng
17:42:34.196 [ApplicationImpl pooled thread 245] INFO  com.browserstack.utils.Helpers - null
17:42:34.197 [ApplicationImpl pooled thread 245] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:44:40.998 [ApplicationImpl pooled thread 250] INFO  c.b.l.BrowserStackRunExtension - testng
17:44:40.998 [ApplicationImpl pooled thread 250] INFO  com.browserstack.utils.Helpers - null
17:44:40.998 [ApplicationImpl pooled thread 250] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:46:59.693 [ApplicationImpl pooled thread 254] INFO  c.b.l.BrowserStackRunExtension - testng
17:46:59.693 [ApplicationImpl pooled thread 254] INFO  com.browserstack.utils.Helpers - null
17:46:59.693 [ApplicationImpl pooled thread 254] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:50:05.114 [ApplicationImpl pooled thread 256] INFO  c.b.l.BrowserStackRunExtension - testng
17:50:05.115 [ApplicationImpl pooled thread 256] INFO  com.browserstack.utils.Helpers - null
17:50:05.115 [ApplicationImpl pooled thread 256] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:31:17.774 [ApplicationImpl pooled thread 281] INFO  c.b.l.BrowserStackRunExtension - testng
18:31:17.775 [ApplicationImpl pooled thread 281] INFO  com.browserstack.utils.Helpers - null
18:31:17.775 [ApplicationImpl pooled thread 281] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:31:44.587 [ApplicationImpl pooled thread 283] INFO  c.b.l.BrowserStackRunExtension - testng
18:31:44.588 [ApplicationImpl pooled thread 283] INFO  com.browserstack.utils.Helpers - null
18:31:44.589 [ApplicationImpl pooled thread 283] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:32:11.091 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - testng
18:32:11.091 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
18:32:11.092 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:33:25.414 [ApplicationImpl pooled thread 282] INFO  c.b.l.BrowserStackRunExtension - testng
18:33:25.414 [ApplicationImpl pooled thread 282] INFO  com.browserstack.utils.Helpers - null
18:33:25.415 [ApplicationImpl pooled thread 282] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:41:53.411 [ApplicationImpl pooled thread 342] INFO  c.b.l.BrowserStackRunExtension - testng
23:41:53.412 [ApplicationImpl pooled thread 342] INFO  com.browserstack.utils.Helpers - null
23:41:53.413 [ApplicationImpl pooled thread 342] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
23:42:37.871 [ApplicationImpl pooled thread 342] INFO  c.b.l.BrowserStackRunExtension - testng
23:42:37.871 [ApplicationImpl pooled thread 342] INFO  com.browserstack.utils.Helpers - null
