22:15:00.152 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - testng
22:15:00.152 [ApplicationImpl pooled thread 231] INFO  com.browserstack.utils.Helpers - null
22:15:00.153 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:09:27.530 [ApplicationImpl pooled thread 259] INFO  c.b.l.BrowserStackRunExtension - testng
03:09:27.530 [ApplicationImpl pooled thread 259] INFO  com.browserstack.utils.Helpers - null
03:09:27.530 [ApplicationImpl pooled thread 259] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:10:38.714 [ApplicationImpl pooled thread 259] INFO  c.b.l.BrowserStackRunExtension - testng
03:10:38.715 [ApplicationImpl pooled thread 259] INFO  com.browserstack.utils.Helpers - null
03:10:38.716 [ApplicationImpl pooled thread 259] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:24:23.838 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - testng
03:24:23.838 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
03:24:23.841 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:25:43.521 [ApplicationImpl pooled thread 274] INFO  c.b.l.BrowserStackRunExtension - testng
03:25:43.521 [ApplicationImpl pooled thread 274] INFO  com.browserstack.utils.Helpers - null
03:25:43.524 [ApplicationImpl pooled thread 274] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:26:30.030 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - testng
03:26:30.030 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
03:26:30.031 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:27:31.583 [ApplicationImpl pooled thread 274] INFO  c.b.l.BrowserStackRunExtension - testng
03:27:31.583 [ApplicationImpl pooled thread 274] INFO  com.browserstack.utils.Helpers - null
03:27:31.584 [ApplicationImpl pooled thread 274] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:28:45.542 [ApplicationImpl pooled thread 274] INFO  c.b.l.BrowserStackRunExtension - testng
03:28:45.542 [ApplicationImpl pooled thread 274] INFO  com.browserstack.utils.Helpers - null
03:28:45.543 [ApplicationImpl pooled thread 274] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:34:45.703 [ApplicationImpl pooled thread 287] INFO  c.b.l.BrowserStackRunExtension - testng
03:34:45.703 [ApplicationImpl pooled thread 287] INFO  com.browserstack.utils.Helpers - null
03:34:45.704 [ApplicationImpl pooled thread 287] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:35:43.525 [ApplicationImpl pooled thread 285] INFO  c.b.l.BrowserStackRunExtension - testng
03:35:43.525 [ApplicationImpl pooled thread 285] INFO  com.browserstack.utils.Helpers - null
03:35:43.526 [ApplicationImpl pooled thread 285] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
03:41:53.730 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - testng
03:41:53.730 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
03:41:53.731 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:11:51.990 [ApplicationImpl pooled thread 311] INFO  c.b.l.BrowserStackRunExtension - testng
04:11:51.990 [ApplicationImpl pooled thread 311] INFO  com.browserstack.utils.Helpers - null
04:11:51.990 [ApplicationImpl pooled thread 311] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:18:19.768 [ApplicationImpl pooled thread 316] INFO  c.b.l.BrowserStackRunExtension - testng
04:18:19.768 [ApplicationImpl pooled thread 316] INFO  com.browserstack.utils.Helpers - null
04:18:19.770 [ApplicationImpl pooled thread 316] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:19:21.386 [ApplicationImpl pooled thread 321] INFO  c.b.l.BrowserStackRunExtension - testng
04:19:21.386 [ApplicationImpl pooled thread 321] INFO  com.browserstack.utils.Helpers - null
04:19:21.387 [ApplicationImpl pooled thread 321] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:20:52.249 [ApplicationImpl pooled thread 319] INFO  c.b.l.BrowserStackRunExtension - testng
04:20:52.249 [ApplicationImpl pooled thread 319] INFO  com.browserstack.utils.Helpers - null
04:20:52.249 [ApplicationImpl pooled thread 319] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:21:55.243 [ApplicationImpl pooled thread 308] INFO  c.b.l.BrowserStackRunExtension - testng
04:21:55.243 [ApplicationImpl pooled thread 308] INFO  com.browserstack.utils.Helpers - null
04:21:55.245 [ApplicationImpl pooled thread 308] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:31:10.664 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - testng
04:31:10.664 [ApplicationImpl pooled thread 333] INFO  com.browserstack.utils.Helpers - null
04:31:10.665 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:31:49.919 [ApplicationImpl pooled thread 334] INFO  c.b.l.BrowserStackRunExtension - testng
04:31:49.919 [ApplicationImpl pooled thread 334] INFO  com.browserstack.utils.Helpers - null
04:31:49.920 [ApplicationImpl pooled thread 334] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:32:43.333 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - testng
04:32:43.333 [ApplicationImpl pooled thread 333] INFO  com.browserstack.utils.Helpers - null
04:32:43.334 [ApplicationImpl pooled thread 333] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:33:23.122 [ApplicationImpl pooled thread 330] INFO  c.b.l.BrowserStackRunExtension - testng
04:33:23.122 [ApplicationImpl pooled thread 330] INFO  com.browserstack.utils.Helpers - null
04:33:23.124 [ApplicationImpl pooled thread 330] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:40:53.965 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - testng
04:40:53.965 [ApplicationImpl pooled thread 337] INFO  com.browserstack.utils.Helpers - null
