03:59:34.084 [ApplicationImpl pooled thread 584] INFO  c.b.l.BrowserStackRunExtension - testng
03:59:34.085 [ApplicationImpl pooled thread 584] INFO  com.browserstack.utils.Helpers - null
03:59:34.086 [ApplicationImpl pooled thread 584] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:00:36.803 [ApplicationImpl pooled thread 584] INFO  c.b.l.BrowserStackRunExtension - testng
04:00:36.803 [ApplicationImpl pooled thread 584] INFO  com.browserstack.utils.Helpers - null
04:00:36.804 [ApplicationImpl pooled thread 584] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:01:33.698 [ApplicationImpl pooled thread 588] INFO  c.b.l.BrowserStackRunExtension - testng
04:01:33.699 [ApplicationImpl pooled thread 588] INFO  com.browserstack.utils.Helpers - null
04:01:33.702 [ApplicationImpl pooled thread 588] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:11:52.797 [ApplicationImpl pooled thread 590] INFO  c.b.l.BrowserStackRunExtension - testng
04:11:52.797 [ApplicationImpl pooled thread 590] INFO  com.browserstack.utils.Helpers - null
04:11:52.799 [ApplicationImpl pooled thread 590] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:16:46.844 [ApplicationImpl pooled thread 597] INFO  c.b.l.BrowserStackRunExtension - testng
04:16:46.844 [ApplicationImpl pooled thread 597] INFO  com.browserstack.utils.Helpers - null
04:16:46.845 [ApplicationImpl pooled thread 597] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:17:47.715 [ApplicationImpl pooled thread 597] INFO  c.b.l.BrowserStackRunExtension - testng
04:17:47.715 [ApplicationImpl pooled thread 597] INFO  com.browserstack.utils.Helpers - null
04:17:47.715 [ApplicationImpl pooled thread 597] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:24:16.606 [ApplicationImpl pooled thread 599] INFO  c.b.l.BrowserStackRunExtension - testng
04:24:16.606 [ApplicationImpl pooled thread 599] INFO  com.browserstack.utils.Helpers - null
04:24:16.607 [ApplicationImpl pooled thread 599] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
04:43:41.877 [ApplicationImpl pooled thread 632] INFO  c.b.l.BrowserStackRunExtension - testng
04:43:41.878 [ApplicationImpl pooled thread 632] INFO  com.browserstack.utils.Helpers - null
